"tier_4","average_measurements","median_measurements","minimum_measurements","maximum_measurements"
"4-004","86.83573512509946","5","1","38288"
"4-091","63.20496592015579","4","1","37803"
"4-001","84.44632889112397","4","1","94546"
"4-072","72.71521894734934","4","1","86143"
"4-054","84.74490605173256","5","1","61778"
"4-083","74.96697231371851","4","1","38652"
"4-071","57.447585211502165","4","1","45180"
"4-039","56.00499924253901","4","1","33832"
"4-003","73.15049470578025","5","1","31562"
"4-044","105.85078898207401","4","1","99761"
"4-031","45.668500458447944","4","1","42825"
"4-052","96.11146621911155","4","1","56228"
"4-056","65.24823508005822","4","1","38123"
"4-086","83.27919969348575","4","1","225094"
"4-070","92.67231305494242","4","1","107296"
"4-022","68.11653363740022","4","1","21186"
"4-045","71.3419624689125","4","1","60538"
"4-060","92.07545769421078","5","1","30047"
"4-014","57.76378835375701","4","1","51647"
"4-021","76.85968028419182","4","1","33527"
"4-102","130.95995805129184","5","1","49866"
"4-088","77.18263302872633","4","1","59818"
"4-030","103.1029227247049","4","1","271313"
"4-026","64.40462940835069","4","1","73972"
"4-082","51.942796319186925","4","1","69802"
"4-008","65.52790446007575","5","1","33342"
"4-018","64.78696632850193","4","1","118185"
"4-067","90.80240089203103","4","1","114071"
"4-024","59.08549303970279","4","1","30447"
"4-051","134.82967027575611","4","1","618629"
"4-089","65.52491773855819","4","1","56318"
"4-079","104.02993560041324","4","1","172600"
"4-065","98.04209068881966","4","1","44660"
"4-005","124.50168982350732","5","1","22166"
"4-049","102.50765531455491","4","1","80748"
"4-092","89.82357949775742","4","1","103663"
"4-028","116.75468768661173","5","1","111416"
"4-032","67.53051372358513","4","1","72260"
"4-098","51.99953766388164","4","1","19758"
"4-064","67.38718365253078","4","1","48409"
"4-106","102.81485474518489","5","1","64767"
"4-100","75.6250211635388","4","1","74690"
"4-101","61.57239655651208","4","1","24775"
"4-080","53.62150971976774","4","1","29794"
"4-090","147.04575452259655","4","1","255101"
"4-099","65.23936197319472","4","1","39113"
"4-027","62.18128000577555","4","1","53942"
"4-036","133.31703703703704","5","1","43575"
"4-094","78.40711205066015","4","1","126699"
"4-025","105.94161636664708","5","1","72321"
"4-017","55.00246862142597","4","1","59625"
"4-104","55.464780540495624","4","1","43082"
"4-068","60.75490383826225","4","1","48732"
"4-007","49.77449455676516","4","1","35321"
"4-047","96.50047091818581","4","1","90511"
"4-042","87.90998256135425","4","1","155244"
"4-012","46.41714477311676","4","1","38603"
"4-087","84.85328840697203","4","1","176967"
"4-069","51.30447176198111","4","1","22590"
"4-058","101.8188937020993","4","1","93137"
"4-002","38.86233480176212","4","1","9330"
"4-078","62.92073068943314","4","1","68981"
"4-103","67.8619366094795","5","1","37395"
"4-038","58.48351648351648","4","1","45473"
"4-043","46.73708414872799","4","1","20677"
"4-033","58.4602658788774","4","1","19716"
"4-037","96.65780841369269","4","1","107480"
"4-084","103.83983062392153","4","1","136817"
"4-093","47.58107095636844","4","1","44241"
"4-034","70.46935483870968","4","1","61273"
"4-029","43.439752983556744","4","1","46701"
"4-035","61.30706944876985","4","1","39868"
"4-019","69.08712714838944","4","1","71314"
"4-073","65.3636899294664","4","1","88115"
"4-020","46.94770832027086","4","1","20887"
"4-095","64.6850847230594","4","1","30968"
"4-063","80.65834984687444","4","1","54717"
"4-011","95.13105243351731","4","1","158263"
"4-006","65.4081044542479","4","1","85183"
"4-066","88.46746009256636","4","1","58117"
"4-105","56.21331511128466","4","1","42718"
"4-081","62.326437531723585","4","1","56188"
"4-015","71.18619687613513","4","1","115273"
"4-074","64.96402945249963","4","1","115057"
"4-013","66.05283283224846","4","1","43567"
"4-085","60.019229443793506","4","1","41499"
"4-048","90.13181543046049","4","1","117100"
"4-046","57.088099854580705","4","1","64867"
"4-055","108.57710458042584","4","1","435859"
"4-009","58.48202292581932","4","1","41140"
"4-057","53.490241048443714","4","1","36216"
"4-096","52.711783740375076","4","1","36706"
"4-077","119.19954457294735","4","1","854868"
"4-076","51.634573864675964","4","1","15348"
"4-061","85.27553347450724","5","1","45424"
"4-062","129.90540968048086","5","1","47731"
"4-040","125.76633342339908","4","1","120049"
"4-016","64.03068625627674","4","1","29231"
"4-041","52.26779151353158","4","1","13546"
"4-023","76.77556780002688","5","1","44141"
"4-075","50.953620608667705","4","1","59733"
"4-050","88.933704123322","4","1","145690"
"4-097","73.95529325908652","4","1","73157"
"4-010","65.44074256388262","4","1","217433"
"4-053","48.65103259890736","4","1","42360"
"4-059","62.59234095120445","4","1","20837"
